timestamp,temperature_C
2025-12-04T17:20:04.858052,21.5
2025-12-04T17:20:05.857925,21.5
2025-12-04T17:20:06.876614,21.5
2025-12-04T17:20:07.857501,21.5
2025-12-04T17:20:08.850340,21.5
2025-12-04T17:20:09.851685,21.5
2025-12-04T17:20:10.857791,21.5
2025-12-04T17:20:11.863016,21.5
2025-12-04T17:20:12.850343,23.2
2025-12-04T17:20:13.857434,24.7
2025-12-05T12:07:44.048261,22.0
2025-12-05T12:07:45.073411,22.0
2025-12-05T12:07:46.048482,22.0
2025-12-05T12:07:47.089090,22.0
2025-12-05T12:07:48.055327,22.0
2025-12-05T12:07:49.052560,22.0
2025-12-05T12:07:50.059209,22.0
2025-12-05T12:07:51.073661,22.0
2025-12-05T12:07:52.093939,22.0
2025-12-05T12:07:53.067972,22.0
2025-12-05T12:07:54.065037,22.0
2025-12-05T12:07:55.077973,22.0
2025-12-05T12:07:56.062627,22.0
2025-12-05T12:07:57.096284,22.0
2025-12-05T12:07:58.062817,22.0
2025-12-05T12:07:59.063061,22.0
2025-12-05T12:08:00.081651,22.0
2025-12-05T12:08:01.062805,22.0
2025-12-05T12:08:02.099997,22.0
2025-12-05T12:08:03.063018,22.0
2025-12-05T12:08:04.062534,22.0
2025-12-05T12:08:05.086517,22.0
2025-12-05T12:08:06.062509,22.0
2025-12-05T12:08:07.086394,22.0
2025-12-05T12:08:08.070888,22.0
2025-12-05T12:08:09.072107,22.0
2025-12-05T12:08:10.155858,22.0
2025-12-05T12:08:11.062590,22.0
2025-12-05T12:08:12.093557,22.0
2025-12-05T12:08:13.070283,22.0
2025-12-05T12:08:14.062676,22.0
2025-12-05T12:08:15.079816,22.0
2025-12-05T12:08:16.063320,22.0
2025-12-05T12:08:17.094886,22.0
2025-12-05T12:08:18.062421,22.0
2025-12-05T12:08:19.072319,22.0
2025-12-05T12:08:20.098717,22.0
2025-12-05T12:08:21.066044,22.0
2025-12-05T12:08:22.154913,22.0
2025-12-05T12:08:23.067939,22.0
2025-12-05T12:08:42.957272,20.8
2025-12-05T12:08:43.984656,20.8
2025-12-05T12:08:44.958086,20.8
2025-12-05T12:08:45.960145,20.8
2025-12-05T12:08:46.969824,20.8
2025-12-05T12:08:47.959301,20.8
2025-12-05T12:08:48.989579,20.8
2025-12-05T12:08:49.956462,20.8
2025-12-05T12:08:50.960366,21.5
2025-12-05T12:08:51.973352,22.7
